Selecao,CodigoCasa,Casa,odd_fracionaria,prob_implicita,prob_implicita_pct
France,B3,bet365,10/3,0.23076923076923078,23.076923076923077
France,WH,William Hill,7/2,0.2222222222222222,22.22222222222222
France,UN,Unibet,57/17,0.22972972972972974,22.972972972972975
France,FR,Betfred,10/3,0.23076923076923078,23.076923076923077
France,EE,888sport,7/2,0.2222222222222222,22.22222222222222
France,SX,Spreadex,10/3,0.23076923076923078,23.076923076923077
France,LD,Ladbrokes,3,0.25,25.0
France,VC,Bet Victor,3,0.25,25.0
France,KN,BetMGM UK,7/2,0.2222222222222222,22.22222222222222
France,BY,Boylesports,10/3,0.23076923076923078,23.076923076923077
France,OE,10Bet,16/5,0.23809523809523808,23.809523809523807
France,S6,StarSports,7/2,0.2222222222222222,22.22222222222222
France,PUP,PricedUp,18/5,0.21739130434782608,21.73913043478261
France,SI,Sporting Index,10/3,0.23076923076923078,23.076923076923077
France,G5,BetGoodwin,29/10,0.2564102564102564,25.64102564102564
France,VE,Virgin Bet,7/2,0.2222222222222222,22.22222222222222
France,QN,QuinnBet,3,0.25,25.0
France,WA,Betway,7/2,0.2222222222222222,22.22222222222222
France,CE,Coral,3,0.25,25.0
France,BAH,BetAhoy,29/10,0.2564102564102564,25.64102564102564
France,BTT,BetTom,29/10,0.2564102564102564,25.64102564102564
France,BRS,BresBet,7/2,0.2222222222222222,22.22222222222222
France,SK,Sky Bet,7/2,0.2222222222222222,22.22222222222222
France,PP,Paddy Power,7/2,0.2222222222222222,22.22222222222222
France,AKB,AK Bets,18/5,0.21739130434782608,21.73913043478261
France,BF,Betfair,10/3,0.23076923076923078,23.076923076923077
France,MA,Matchbook,10/3,0.23076923076923078,23.076923076923077
Argentina,B3,bet365,4,0.2,20.0
Argentina,WH,William Hill,4,0.2,20.0
Argentina,UN,Unibet,4,0.2,20.0
Argentina,FR,Betfred,4,0.2,20.0
Argentina,EE,888sport,4,0.2,20.0
Argentina,SX,Spreadex,4,0.2,20.0
Argentina,LD,Ladbrokes,4,0.2,20.0
Argentina,VC,Bet Victor,4,0.2,20.0
Argentina,KN,BetMGM UK,4,0.2,20.0
Argentina,BY,Boylesports,4,0.2,20.0
Argentina,OE,10Bet,4,0.2,20.0
Argentina,S6,StarSports,4,0.2,20.0
Argentina,PUP,PricedUp,4,0.2,20.0
Argentina,SI,Sporting Index,4,0.2,20.0
Argentina,G5,BetGoodwin,15/4,0.21052631578947367,21.052631578947366
Argentina,VE,Virgin Bet,4,0.2,20.0
Argentina,QN,QuinnBet,4,0.2,20.0
Argentina,WA,Betway,4,0.2,20.0
Argentina,CE,Coral,4,0.2,20.0
Argentina,BAH,BetAhoy,15/4,0.21052631578947367,21.052631578947366
Argentina,BTT,BetTom,15/4,0.21052631578947367,21.052631578947366
Argentina,BRS,BresBet,4,0.2,20.0
Argentina,SK,Sky Bet,9/2,0.18181818181818182,18.181818181818183
Argentina,PP,Paddy Power,9/2,0.18181818181818182,18.181818181818183
Argentina,AKB,AK Bets,21/5,0.19230769230769232,19.230769230769234
Argentina,BF,Betfair,103/25,0.1953125,19.53125
Argentina,MA,Matchbook,103/25,0.1953125,19.53125
England,B3,bet365,7,0.125,12.5
England,WH,William Hill,6,0.14285714285714285,14.285714285714285
England,UN,Unibet,15/2,0.11764705882352941,11.76470588235294
England,FR,Betfred,7,0.125,12.5
England,EE,888sport,6,0.14285714285714285,14.285714285714285
England,SX,Spreadex,7,0.125,12.5
England,LD,Ladbrokes,7,0.125,12.5
England,VC,Bet Victor,5,0.16666666666666666,16.666666666666664
England,KN,BetMGM UK,7,0.125,12.5
England,BY,Boylesports,13/2,0.13333333333333333,13.333333333333334
England,OE,10Bet,7,0.125,12.5
England,S6,StarSports,7,0.125,12.5
England,PUP,PricedUp,15/2,0.11764705882352941,11.76470588235294
England,SI,Sporting Index,7,0.125,12.5
England,G5,BetGoodwin,6,0.14285714285714285,14.285714285714285
England,VE,Virgin Bet,7,0.125,12.5
England,QN,QuinnBet,7,0.125,12.5
England,WA,Betway,15/2,0.11764705882352941,11.76470588235294
England,CE,Coral,7,0.125,12.5
England,BAH,BetAhoy,6,0.14285714285714285,14.285714285714285
England,BTT,BetTom,6,0.14285714285714285,14.285714285714285
England,BRS,BresBet,7,0.125,12.5
England,SK,Sky Bet,13/2,0.13333333333333333,13.333333333333334
England,PP,Paddy Power,13/2,0.13333333333333333,13.333333333333334
England,AKB,AK Bets,8,0.1111111111111111,11.11111111111111
England,BF,Betfair,196/25,0.11312217194570136,11.312217194570136
England,MA,Matchbook,191/25,0.11574074074074074,11.574074074074074
Spain,B3,bet365,7,0.125,12.5
Spain,WH,William Hill,6,0.14285714285714285,14.285714285714285
Spain,UN,Unibet,15/2,0.11764705882352941,11.76470588235294
Spain,FR,Betfred,6,0.14285714285714285,14.285714285714285
Spain,EE,888sport,6,0.14285714285714285,14.285714285714285
Spain,SX,Spreadex,13/2,0.13333333333333333,13.333333333333334
Spain,LD,Ladbrokes,7,0.125,12.5
Spain,VC,Bet Victor,7,0.125,12.5
Spain,KN,BetMGM UK,6,0.14285714285714285,14.285714285714285
Spain,BY,Boylesports,7,0.125,12.5
Spain,OE,10Bet,7,0.125,12.5
Spain,S6,StarSports,11/2,0.15384615384615385,15.384615384615385
Spain,PUP,PricedUp,8,0.1111111111111111,11.11111111111111
Spain,SI,Sporting Index,13/2,0.13333333333333333,13.333333333333334
Spain,G5,BetGoodwin,13/2,0.13333333333333333,13.333333333333334
Spain,VE,Virgin Bet,6,0.14285714285714285,14.285714285714285
Spain,QN,QuinnBet,15/2,0.11764705882352941,11.76470588235294
Spain,WA,Betway,15/2,0.11764705882352941,11.76470588235294
Spain,CE,Coral,7,0.125,12.5
Spain,BAH,BetAhoy,13/2,0.13333333333333333,13.333333333333334
Spain,BTT,BetTom,13/2,0.13333333333333333,13.333333333333334
Spain,BRS,BresBet,11/2,0.15384615384615385,15.384615384615385
Spain,SK,Sky Bet,6,0.14285714285714285,14.285714285714285
