Selecao,CodigoCasa,Casa,odd_fracionaria,prob_implicita,prob_implicita_pct
France,B3,bet365,15/8,0.34782608695652173,34.78260869565217
France,WH,William Hill,15/8,0.34782608695652173,34.78260869565217
France,UN,Unibet,19/10,0.3448275862068966,34.48275862068966
France,FR,Betfred,7/4,0.36363636363636365,36.36363636363637
France,EE,888sport,15/8,0.34782608695652173,34.78260869565217
France,SX,Spreadex,15/8,0.34782608695652173,34.78260869565217
France,LD,Ladbrokes,15/8,0.34782608695652173,34.78260869565217
France,VC,Bet Victor,7/4,0.36363636363636365,36.36363636363637
France,KN,BetMGM UK,37/20,0.3508771929824561,35.08771929824561
France,BY,Boylesports,15/8,0.34782608695652173,34.78260869565217
France,OE,10Bet,37/20,0.3508771929824561,35.08771929824561
France,S6,StarSports,15/8,0.34782608695652173,34.78260869565217
France,PUP,PricedUp,2,0.3333333333333333,33.33333333333333
France,SI,Sporting Index,15/8,0.34782608695652173,34.78260869565217
France,G5,BetGoodwin,7/4,0.36363636363636365,36.36363636363637
France,VE,Virgin Bet,37/20,0.3508771929824561,35.08771929824561
France,QN,QuinnBet,15/8,0.34782608695652173,34.78260869565217
France,WA,Betway,15/8,0.34782608695652173,34.78260869565217
France,CE,Coral,15/8,0.34782608695652173,34.78260869565217
France,BAH,BetAhoy,7/4,0.36363636363636365,36.36363636363637
France,BTT,BetTom,7/4,0.36363636363636365,36.36363636363637
France,BRS,BresBet,15/8,0.34782608695652173,34.78260869565217
France,SK,Sky Bet,15/8,0.34782608695652173,34.78260869565217
France,PP,Paddy Power,15/8,0.34782608695652173,34.78260869565217
France,AKB,AK Bets,2,0.3333333333333333,33.33333333333333
France,BF,Betfair,19/10,0.3448275862068966,34.48275862068966
France,MA,Matchbook,19/10,0.3448275862068966,34.48275862068966
Argentina,B3,bet365,4,0.2,20.0
Argentina,WH,William Hill,4,0.2,20.0
Argentina,UN,Unibet,17/4,0.19047619047619047,19.047619047619047
Argentina,FR,Betfred,4,0.2,20.0
Argentina,EE,888sport,4,0.2,20.0
Argentina,SX,Spreadex,9/2,0.18181818181818182,18.181818181818183
Argentina,LD,Ladbrokes,4,0.2,20.0
Argentina,VC,Bet Victor,7/2,0.2222222222222222,22.22222222222222
Argentina,KN,BetMGM UK,4,0.2,20.0
Argentina,BY,Boylesports,4,0.2,20.0
Argentina,OE,10Bet,4,0.2,20.0
Argentina,S6,StarSports,4,0.2,20.0
Argentina,PUP,PricedUp,9/2,0.18181818181818182,18.181818181818183
Argentina,SI,Sporting Index,9/2,0.18181818181818182,18.181818181818183
Argentina,G5,BetGoodwin,15/4,0.21052631578947367,21.052631578947366
Argentina,VE,Virgin Bet,4,0.2,20.0
Argentina,QN,QuinnBet,4,0.2,20.0
Argentina,WA,Betway,9/2,0.18181818181818182,18.181818181818183
Argentina,CE,Coral,4,0.2,20.0
Argentina,BAH,BetAhoy,15/4,0.21052631578947367,21.052631578947366
Argentina,BTT,BetTom,15/4,0.21052631578947367,21.052631578947366
Argentina,BRS,BresBet,4,0.2,20.0
Argentina,SK,Sky Bet,9/2,0.18181818181818182,18.181818181818183
