Selecao,CodigoCasa,Casa,odd_fracionaria,prob_implicita,prob_implicita_pct
France,B3,B3,15/8,0.34782608695652173,34.78260869565217
France,WH,WH,15/8,0.34782608695652173,34.78260869565217
France,UN,UN,19/10,0.3448275862068966,34.48275862068966
France,FR,FR,7/4,0.36363636363636365,36.36363636363637
France,SX,SX,19/10,0.3448275862068966,34.48275862068966
France,LD,LD,7/4,0.36363636363636365,36.36363636363637
France,VC,VC,7/4,0.36363636363636365,36.36363636363637
France,KN,KN,7/4,0.36363636363636365,36.36363636363637
France,BY,BY,15/8,0.34782608695652173,34.78260869565217
France,OE,OE,19/10,0.3448275862068966,34.48275862068966
France,S6,S6,7/4,0.36363636363636365,36.36363636363637
France,PUP,PUP,21/10,0.3225806451612903,32.25806451612903
France,SI,SI,19/10,0.3448275862068966,34.48275862068966
France,G5,G5,17/10,0.37037037037037035,37.03703703703704
France,VE,VE,7/4,0.36363636363636365,36.36363636363637
France,QN,QN,15/8,0.34782608695652173,34.78260869565217
France,WA,WA,2,0.3333333333333333,33.33333333333333
France,CE,CE,7/4,0.36363636363636365,36.36363636363637
France,BAH,BAH,17/10,0.37037037037037035,37.03703703703704
France,BTT,BTT,17/10,0.37037037037037035,37.03703703703704
France,BRS,BRS,7/4,0.36363636363636365,36.36363636363637
France,SK,SK,15/8,0.34782608695652173,34.78260869565217
France,PP,PP,15/8,0.34782608695652173,34.78260869565217
France,AKB,AKB,21/10,0.3225806451612903,32.25806451612903
France,BF,BF,2,0.3333333333333333,33.33333333333333
France,MA,MA,2,0.3333333333333333,33.33333333333333
Spain,B3,B3,7/2,0.2222222222222222,22.22222222222222
Spain,WH,WH,7/2,0.2222222222222222,22.22222222222222
Spain,UN,UN,15/4,0.21052631578947367,21.052631578947366
Spain,FR,FR,7/2,0.2222222222222222,22.22222222222222
Spain,SX,SX,7/2,0.2222222222222222,22.22222222222222
Spain,LD,LD,7/2,0.2222222222222222,22.22222222222222
Spain,VC,VC,7/2,0.2222222222222222,22.22222222222222
Spain,KN,KN,7/2,0.2222222222222222,22.22222222222222
Spain,BY,BY,7/2,0.2222222222222222,22.22222222222222
Spain,OE,OE,7/2,0.2222222222222222,22.22222222222222
Spain,S6,S6,15/4,0.21052631578947367,21.052631578947366
Spain,PUP,PUP,4,0.2,20.0
Spain,SI,SI,7/2,0.2222222222222222,22.22222222222222
Spain,G5,G5,10/3,0.23076923076923078,23.076923076923077
Spain,VE,VE,7/2,0.2222222222222222,22.22222222222222
Spain,QN,QN,7/2,0.2222222222222222,22.22222222222222
Spain,WA,WA,4,0.2,20.0
Spain,CE,CE,7/2,0.2222222222222222,22.22222222222222
Spain,BAH,BAH,10/3,0.23076923076923078,23.076923076923077
Spain,BTT,BTT,10/3,0.23076923076923078,23.076923076923077
Spain,BRS,BRS,15/4,0.21052631578947367,21.052631578947366
Spain,SK,SK,7/2,0.2222222222222222,22.22222222222222
