Selecao,CodigoCasa,Casa,odd_fracionaria,prob_implicita,prob_implicita_pct
France,B3,bet365,6/4,0.4,40.0
France,WH,William Hill,6/4,0.4,40.0
France,UN,Unibet,7/5,0.4166666666666667,41.66666666666667
France,FR,Betfred,6/4,0.4,40.0
France,SX,Spreadex,6/4,0.4,40.0
France,LD,Ladbrokes,6/4,0.4,40.0
France,VC,Bet Victor,6/4,0.4,40.0
France,KN,BetMGM UK,6/4,0.4,40.0
France,BY,Boylesports,6/4,0.4,40.0
France,OE,10Bet,29/20,0.40816326530612246,40.816326530612244
France,S6,StarSports,6/4,0.4,40.0
France,PUP,PricedUp,6/4,0.4,40.0
France,SI,Sporting Index,6/4,0.4,40.0
France,G5,BetGoodwin,6/4,0.4,40.0
France,VE,Virgin Bet,6/4,0.4,40.0
France,QN,QuinnBet,6/4,0.4,40.0
France,WA,Betway,13/8,0.38095238095238093,38.095238095238095
France,CE,Coral,6/4,0.4,40.0
France,BAH,BetAhoy,6/4,0.4,40.0
France,BTT,BetTom,6/4,0.4,40.0
France,BRS,BresBet,6/4,0.4,40.0
France,SK,Sky Bet,6/4,0.4,40.0
France,PP,Paddy Power,6/4,0.4,40.0
France,AKB,AK Bets,13/8,0.38095238095238093,38.095238095238095
France,BF,Betfair,6/4,0.4,40.0
France,MA,Matchbook,6/4,0.4,40.0
Spain,B3,bet365,10/3,0.23076923076923078,23.076923076923077
Spain,WH,William Hill,3,0.25,25.0
Spain,UN,Unibet,13/4,0.23529411764705882,23.52941176470588
Spain,FR,Betfred,10/3,0.23076923076923078,23.076923076923077
Spain,SX,Spreadex,16/5,0.23809523809523808,23.809523809523807
Spain,LD,Ladbrokes,10/3,0.23076923076923078,23.076923076923077
Spain,VC,Bet Victor,10/3,0.23076923076923078,23.076923076923077
Spain,KN,BetMGM UK,13/4,0.23529411764705882,23.52941176470588
Spain,BY,Boylesports,10/3,0.23076923076923078,23.076923076923077
Spain,OE,10Bet,10/3,0.23076923076923078,23.076923076923077
Spain,S6,StarSports,10/3,0.23076923076923078,23.076923076923077
Spain,PUP,PricedUp,10/3,0.23076923076923078,23.076923076923077
Spain,SI,Sporting Index,16/5,0.23809523809523808,23.809523809523807
Spain,G5,BetGoodwin,16/5,0.23809523809523808,23.809523809523807
Spain,VE,Virgin Bet,13/4,0.23529411764705882,23.52941176470588
Spain,QN,QuinnBet,100/30,0.23076923076923078,23.076923076923077
Spain,WA,Betway,100/30,0.23076923076923078,23.076923076923077
Spain,CE,Coral,10/3,0.23076923076923078,23.076923076923077
Spain,BAH,BetAhoy,16/5,0.23809523809523808,23.809523809523807
Spain,BTT,BetTom,16/5,0.23809523809523808,23.809523809523807
Spain,BRS,BresBet,10/3,0.23076923076923078,23.076923076923077
Spain,SK,Sky Bet,16/5,0.23809523809523808,23.809523809523807
Spain,PP,Paddy Power,16/5,0.23809523809523808,23.809523809523807
Spain,AKB,AK Bets,17/5,0.22727272727272727,22.727272727272727
Spain,BF,Betfair,7/2,0.2222222222222222,22.22222222222222
Spain,MA,Matchbook,7/2,0.2222222222222222,22.22222222222222
England,B3,bet365,10/3,0.23076923076923078,23.076923076923077
England,WH,William Hill,10/3,0.23076923076923078,23.076923076923077
England,UN,Unibet,7/2,0.2222222222222222,22.22222222222222
England,FR,Betfred,10/3,0.23076923076923078,23.076923076923077
England,SX,Spreadex,16/5,0.23809523809523808,23.809523809523807
England,LD,Ladbrokes,10/3,0.23076923076923078,23.076923076923077
England,VC,Bet Victor,3,0.25,25.0
England,KN,BetMGM UK,13/4,0.23529411764705882,23.52941176470588
England,BY,Boylesports,7/2,0.2222222222222222,22.22222222222222
England,OE,10Bet,16/5,0.23809523809523808,23.809523809523807
England,S6,StarSports,10/3,0.23076923076923078,23.076923076923077
England,PUP,PricedUp,10/3,0.23076923076923078,23.076923076923077
England,SI,Sporting Index,16/5,0.23809523809523808,23.809523809523807
England,G5,BetGoodwin,10/3,0.23076923076923078,23.076923076923077
England,VE,Virgin Bet,13/4,0.23529411764705882,23.52941176470588
England,QN,QuinnBet,100/30,0.23076923076923078,23.076923076923077
England,WA,Betway,7/2,0.2222222222222222,22.22222222222222
England,CE,Coral,10/3,0.23076923076923078,23.076923076923077
