sep=;
Seleção;Grupo;Status_Qualificação;Confederação;Ranking_FIFA_Nov_2025;Pontuacao_Ranking_FIFA;Participações_Copa_Mundo;Melhor_Resultado_Copa_Mundo;Link_Bandeira
Canadá;B;Classificado (Sede);CONCACAF;45;1559,15;3;Fase de Grupos;https://flagcdn.com/w320/ca.png
Estados Unidos;D;Classificado (Sede);CONCACAF;11;1681,88;12;3º Lugar (1930);https://flagcdn.com/w320/us.png
México;A;Classificado (Sede);CONCACAF;12;1675,75;18;Quartas de Final (1970, 1986);https://flagcdn.com/w320/mx.png
Austrália;D;Classificado;AFC;27;1574,01;6;Oitavas de Final (2006,  2022);https://flagcdn.com/w320/au.png
Arábia Saudita;H;Classificado;AFC;57;1428,74;6;Oitavas de Final (1994);https://flagcdn.com/w320/sa.png
Catar;B;Classificado;AFC;61;1461,60;1;Fase de Grupos;https://flagcdn.com/w320/qa.png
Coreia do Sul;A;Classificado;AFC;24;1599,45;11;4º Lugar (2002);https://flagcdn.com/w320/kr.png
Irã;G;Classificado;AFC;21;1617,02;6;Fase de Grupos;https://flagcdn.com/w320/ir.png
Japão;F;Classificado;AFC;18;1650,12;7;Oitavas de Final (2002, 2010, 2018, 2022);https://flagcdn.com/w320/jp.png
Jordânia;J;Classificado;AFC;82;1377,64;0;Estreante;https://flagcdn.com/w320/jo.png
Uzbequistão;K;Classificado;AFC;73;1462,03;0;Estreante;https://flagcdn.com/w320/uz.png
África do Sul;A;Classificado;CAF;64;1426,73;3;Fase de Grupos;https://flagcdn.com/w320/za.png
Argélia;J;Classificado;CAF;33;1516,37;4;Oitavas de Final (2014);https://flagcdn.com/w320/dz.png
Cabo Verde;H;Classificado;CAF;74;1367,95;0;Estreante;https://flagcdn.com/w320/cv.png
Costa do Marfim;E;Classificado;CAF;52;1489,59;3;Fase de Grupos;https://flagcdn.com/w320/ci.png
Egito;G;Classificado;CAF;35;1520,68;3;Fase de Grupos;https://flagcdn.com/w320/eg.png
Gana;L;Classificado;CAF;60;1351,09;4;Quartas de Final (2010);https://flagcdn.com/w320/gh.png
Marrocos;C;Classificado;CAF;13;1713,12;6;4º Lugar (2022);https://flagcdn.com/w320/ma.png
Senegal;I;Classificado;CAF;20;1648,07;3;Quartas de Final (2002);https://flagcdn.com/w320/sn.png
Tunísia;F;Classificado;CAF;32;1497,13;6;Fase de Grupos;https://flagcdn.com/w320/tn.png
Curaçau;E;Classificado;CONCACAF;89;1302,70;0;Estreante;https://flagcdn.com/w320/cw.png
