Seleção,Probabilidade Implícita
Espanha,"0,1492733394"
Inglaterra,"0,1262829461"
França,"0,09655965186"
Brasil,"0,09122259627"
Argentina,"0,09122259627"
Portugal,"0,07463666968"
Alemanha,"0,06314147303"
Holanda,"0,03908366861"
Noruega,"0,02832744889"
Itália,"0,02652106084"
Bélgica,"0,02003448559"
Colômbia,"0,01609327531"
Uruguai,"0,01248049922"
EUA,"0,01009935134"
México,"0,01009935134"
Suíça,"0,01009935134"
Equador,"0,01009935134"
Marrocos,"0,01009935134"
Croácia,"0,008128746202"
Japão,"0,008128746202"
Senegal,"0,006815009442"
Gana,"0,005419164135"
Suécia,"0,005419164135"
Coreia do Sul,"0,005419164135"
Paraguai,"0,005419164135"
Áustria,"0,005419164135"
Dinamarca,"0,004105427375"
Argélia,"0,004105427375"
Ucrânia,"0,004105427375"
Costa do Marfim,"0,004105427375"
Bolívia,"0,0032843419"
Turquia,"0,0032843419"
Egito,"0,0032843419"
Escócia,"0,0032843419"
Canadá,"0,0032843419"
Polônia,"0,0032843419"
País de Gales,"0,00229903933"
Tunísia,"0,002052713687"
África do Sul,"0,00164217095"
Eslováquia,"0,00164217095"
Romênia,"0,00164217095"
Austrália,"0,00164217095"
Macedônia do Norte,"0,00164217095"
República Checa,"0,00164217095"
Irã,"0,00164217095"
RD Congo,"0,001149519665"
Kosovo,"0,001149519665"
Panamá,"0,001149519665"
Irlanda do Norte,"0,001149519665"
Albânia,"0,000821085475"
Arábia Saudita,"0,000821085475"
Catar,"0,000821085475"
Nova Zelândia,"0,000821085475"
Jamaica,"0,000821085475"
Iraque,"0,000821085475"
Irlanda,"0,000821085475"
Uzbequistão,"0,0004105427375"
Cabo Verde,"0,0004105427375"
Suriname,"0,0004105427375"
Curaçao,"0,0004105427375"
Jordânia,"0,00032843419"
Haiti,"0,000164217095"
